,UID,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
0,UID00000,0,27,25,90,11,0,4,0,0,0,2,0,2
1,UID00001,10,24,3,3,0,13,19,7,13,0,50,5,27
2,UID00002,26,3,10,13,0,0,10,6,13,0,15,12,82
3,UID00003,0,85,34,43,9,5,3,0,0,7,1,0,1
4,UID00004,18,1,3,1,2,0,32,5,16,0,13,13,42
5,UID00005,0,30,91,19,5,8,1,0,2,4,0,13,1
6,UID00006,18,13,3,3,0,23,24,5,18,0,51,9,23
7,UID00007,0,36,72,21,4,8,1,0,1,4,0,3,1
8,UID00008,13,14,1,6,0,17,26,7,16,0,53,14,21
9,UID00009,0,13,28,24,15,6,12,2,0,54,0,0,0
10,UID00010,0,79,33,45,14,2,0,0,1,9,0,0,8
11,UID00011,0,63,11,6,10,60,0,0,0,0,2,1,0
12,UID00012,19,15,4,5,2,20,26,4,11,0,45,5,23
13,UID00013,29,1,7,2,1,0,30,11,28,0,10,17,58
14,UID00014,27,0,6,22,0,0,8,6,14,0,9,8,65
15,UID00015,26,2,6,1,0,0,26,3,18,0,9,13,57
16,UID00016,0,76,23,7,13,68,0,0,0,0,5,0,0
17,UID00017,21,0,7,3,0,0,92,23,4,0,9,7,21
18,UID00018,13,12,2,7,0,19,20,3,14,0,49,10,41
19,UID00019,0,26,37,97,6,1,3,0,0,0,3,0,4
20,UID00020,0,62,15,12,20,67,0,0,0,0,7,0,0
21,UID00021,0,71,39,50,18,3,0,0,1,7,2,0,1
22,UID00022,0,41,79,30,1,4,2,0,0,5,0,11,4
23,UID00023,19,0,6,23,0,0,10,2,24,0,14,17,61
24,UID00024,0,22,26,104,5,0,3,0,0,1,3,0,3
25,UID00025,12,17,1,8,0,17,34,7,12,0,54,8,33
26,UID00026,0,125,22,67,7,4,2,0,1,9,1,0,3
27,UID00027,28,0,8,20,1,0,10,0,14,0,13,16,89
28,UID00028,0,65,32,33,12,6,1,0,1,5,1,0,2
29,UID00029,69,25,34,22,10,6,6,0,0,0,1,0,0
30,UID00030,0,14,34,27,6,2,28,2,2,43,0,0,0
31,UID00031,0,77,29,36,8,4,4,0,2,5,1,0,2
32,UID00032,15,2,5,3,0,0,96,33,3,0,5,4,31
33,UID00033,14,2,4,1,0,0,86,31,8,0,10,7,27
34,UID00034,24,1,2,0,1,0,24,3,27,0,10,10,60
35,UID00035,0,32,83,24,1,4,0,0,0,4,0,10,2
36,UID00036,8,2,5,2,1,0,30,4,22,0,4,10,68
37,UID00037,49,22,30,25,12,5,3,0,0,0,3,1,1
38,UID00038,34,2,6,4,16,0,15,3,18,0,15,10,29
39,UID00039,21,0,4,19,1,0,12,5,12,0,11,9,61
40,UID00040,0,26,110,32,2,3,0,0,0,10,0,5,1
41,UID00041,22,1,3,2,0,0,86,37,5,0,6,5,31
42,UID00042,23,1,20,3,0,0,23,4,44,0,16,46,9
43,UID00043,0,60,16,7,13,70,0,0,0,0,5,0,0
44,UID00044,29,2,10,8,1,0,26,7,64,0,8,34,16
45,UID00045,24,0,5,20,0,0,9,4,15,0,14,16,82
46,UID00046,0,20,74,23,5,4,2,0,0,7,0,15,2
47,UID00047,30,0,4,18,0,0,8,6,16,0,10,16,72
48,UID00048,11,16,4,5,0,18,19,8,17,0,49,3,26
49,UID00049,38,1,9,6,9,0,24,10,16,0,19,19,30
50,UID00050,22,0,4,23,0,0,8,5,9,0,16,11,83
51,UID00051,18,1,3,10,0,0,79,32,8,0,10,8,18
52,UID00052,0,9,42,16,10,4,22,1,1,47,1,0,1
53,UID00053,21,0,5,26,0,0,12,9,20,0,16,17,66
54,UID00054,18,1,8,4,0,0,70,30,4,0,6,1,29
55,UID00055,65,21,38,22,11,4,0,0,0,0,4,0,5
56,UID00056,12,18,3,3,2,17,32,9,20,0,41,13,31
57,UID00057,113,3,0,0,0,0,18,0,15,0,5,11,3
58,UID00058,22,0,8,4,0,0,38,5,20,0,12,14,58
59,UID00059,124,1,2,0,0,0,16,1,11,0,9,9,3
60,UID00060,0,68,18,2,10,66,0,0,0,0,8,0,0
61,UID00061,0,42,31,40,41,10,0,0,0,3,2,0,4
62,UID00062,0,23,31,118,7,2,0,0,0,0,1,0,3
63,UID00063,0,31,82,28,5,4,1,0,2,4,0,0,2
64,UID00064,0,46,41,41,44,10,0,0,0,1,1,0,2
65,UID00065,11,18,1,4,0,19,31,4,19,0,50,12,24
66,UID00066,0,33,72,22,2,6,0,0,2,3,0,7,4
67,UID00067,22,1,23,4,0,0,15,6,54,0,12,28,18
68,UID00068,0,21,32,119,13,0,0,0,0,0,0,0,1
69,UID00069,0,45,34,35,42,6,0,0,0,4,2,0,2
70,UID00070,0,20,36,16,10,4,18,1,1,58,0,0,0
71,UID00071,0,69,34,41,7,6,1,0,0,6,1,1,1
72,UID00072,7,0,0,3,0,0,49,1,28,0,0,0,129
73,UID00073,57,22,30,18,9,4,3,0,0,0,2,0,3
74,UID00074,22,1,3,0,0,0,29,0,21,0,10,14,60
75,UID00075,71,25,38,21,12,5,3,0,0,0,1,0,0
76,UID00076,27,1,10,5,0,0,23,5,46,0,5,36,28
77,UID00077,12,18,2,1,0,17,27,5,9,0,38,6,21
78,UID00078,0,35,31,121,7,0,3,0,0,0,1,0,4
79,UID00079,0,50,26,13,10,57,0,0,0,0,3,0,0
80,UID00080,139,1,6,0,0,0,13,4,14,0,9,7,4
81,UID00081,68,21,22,21,12,6,1,0,1,0,2,0,1
82,UID00082,13,20,3,1,1,26,23,5,11,0,52,15,26
83,UID00083,36,1,10,2,1,0,18,6,45,0,13,38,26
84,UID00084,28,4,8,2,0,0,28,6,22,0,15,13,51
85,UID00085,156,1,2,0,0,0,15,0,13,0,4,9,4
86,UID00086,71,21,33,27,8,4,2,0,0,0,1,0,6
87,UID00087,0,136,2,40,0,2,1,0,0,1,1,0,4
88,UID00088,66,26,36,18,10,5,4,0,1,0,1,1,1
89,UID00089,0,34,78,18,9,1,1,0,1,1,0,9,2
90,UID00090,64,17,33,23,7,5,2,0,1,0,0,0,4
91,UID00091,21,0,6,2,0,0,85,28,4,0,7,7,22
92,UID00092,27,0,4,16,0,0,12,2,10,0,12,8,76
93,UID00093,8,1,0,1,0,0,33,1,24,0,0,5,115
94,UID00094,0,123,27,62,3,3,1,1,2,6,0,0,2
95,UID00095,24,0,23,4,0,0,22,3,44,0,4,44,20
96,UID00096,25,3,6,4,2,0,37,8,28,0,19,17,55
97,UID00097,0,67,26,49,10,3,2,0,2,7,1,0,1
98,UID00098,62,24,33,21,10,6,4,0,1,0,3,1,3
99,UID00099,23,0,4,4,0,0,80,24,6,0,10,5,19
100,UID00100,0,70,30,48,13,4,4,0,0,7,2,1,3
101,UID00101,0,35,94,25,4,3,0,0,4,7,0,4,0
102,UID00102,0,22,31,112,8,1,4,0,2,1,0,0,3
103,UID00103,13,20,1,2,2,12,23,7,10,0,57,7,17
104,UID00104,0,87,31,47,10,6,2,0,1,9,0,1,2
105,UID00105,0,53,28,33,43,3,1,0,0,4,0,0,3
106,UID00106,28,0,5,13,1,0,10,2,16,0,16,17,68
107,UID00107,0,20,27,100,8,1,0,0,1,1,1,0,1
108,UID00108,21,22,2,6,1,15,19,7,13,0,40,6,24
109,UID00109,14,0,7,27,0,0,8,7,7,0,19,19,88
110,UID00110,74,25,32,20,9,8,2,0,1,0,2,0,2
111,UID00111,0,115,33,58,8,3,1,0,1,3,1,0,2
112,UID00112,24,0,5,20,0,0,4,8,14,0,13,17,56
113,UID00113,0,35,89,36,8,4,1,0,1,6,0,13,1
114,UID00114,73,17,29,22,10,4,5,0,1,0,2,0,5
115,UID00115,19,0,6,5,0,0,82,24,3,0,9,7,12
116,UID00116,0,35,29,43,47,8,1,0,0,1,0,0,0
117,UID00117,0,22,41,128,10,0,1,0,0,2,0,0,1
118,UID00118,136,5,0,0,0,0,10,0,7,0,7,11,7
119,UID00119,0,30,96,23,5,4,1,0,0,8,0,5,1
120,UID00120,31,3,7,4,19,0,26,1,21,0,21,13,32
121,UID00121,0,72,30,53,5,3,1,0,0,7,0,0,1
122,UID00122,0,26,33,85,12,1,5,0,0,0,1,0,5
123,UID00123,28,0,3,22,0,0,11,10,13,0,17,13,68
124,UID00124,0,13,34,12,11,10,25,0,0,61,2,0,0
125,UID00125,0,51,35,38,50,4,0,0,1,6,1,0,2
126,UID00126,13,0,0,4,0,0,32,0,23,0,8,7,73
127,UID00127,0,24,42,124,5,0,2,0,0,0,0,0,2
128,UID00128,0,20,23,114,8,0,2,0,1,0,2,0,2
129,UID00129,69,39,28,29,12,4,2,0,1,0,1,0,4
130,UID00130,0,28,94,31,3,7,0,0,0,3,0,1,1
131,UID00131,64,26,41,14,7,12,2,0,3,0,3,0,3
132,UID00132,0,19,32,14,10,7,19,2,1,36,1,0,0
133,UID00133,18,2,5,3,0,0,88,34,3,0,10,6,25
134,UID00134,33,1,4,1,1,0,36,7,22,0,20,15,63
135,UID00135,20,4,9,2,0,0,29,7,32,0,18,11,41
136,UID00136,0,23,19,110,2,1,0,0,0,0,1,0,3
137,UID00137,29,1,12,0,0,0,26,9,47,0,7,36,20
138,UID00138,0,69,27,4,13,53,0,0,1,0,7,0,0
139,UID00139,0,117,25,67,13,1,1,0,0,5,1,0,2
140,UID00140,0,69,16,6,8,57,0,0,0,0,6,1,0
141,UID00141,0,21,20,94,6,1,1,0,0,1,1,0,0
142,UID00142,64,21,31,21,13,5,1,0,1,0,2,0,2
143,UID00143,30,1,5,1,0,0,39,7,21,0,21,20,71
144,UID00144,22,4,8,3,12,0,24,4,20,0,20,8,38
145,UID00145,0,44,35,44,41,5,0,0,0,5,2,0,2
